"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",222.976,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",87.345,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",97.765,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",31.323,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",6.543,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2024",134.002,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2024",48.131,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2024",60.353,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2024",19.799,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2024",5.719,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2024",88.974,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2024",39.214,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2024",37.412,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2024",11.524,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2024",0.824,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",222.976,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",14.662,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",39.723,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",32.96,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",23.131,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",44.808,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",2.035,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",19.874,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",7.917,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",31.323,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",6.283,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",0.26,"U",,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2024",134.002,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2024",9.328,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2024",17.255,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2024",21.548,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2024",8.194,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2024",25.319,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2024",1.716,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2024",17.527,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2024",7.597,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2024",19.799,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2024",5.58,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2024",0.139,"U",,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2024",88.974,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2024",5.334,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2024",22.469,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2024",11.412,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2024",14.938,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2024",19.489,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2024",0.318,,,,"R1:3513"
"BRN","BA:8230","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2024",2.347,,,,"R1:3513"
