"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",139242.444,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",15500.801,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",96190.064,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",27011.61,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",539.969,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2023",84727.05,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2023",8141.194,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2023",57878.37,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2023",18200.043,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2023",507.442,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2023",54515.394,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2023",7359.608,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2023",38311.693,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2023",8811.567,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2023",32.526,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",139242.444,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",2993.568,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",8381.198,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",4126.034,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",5783.354,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",34844.048,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",30106.83,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",16139.778,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",9316.055,,,,"R1:3513"
"IDN","BA:510","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",27011.61,,,,"R1:3513"
