"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",9756.289,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",741.056,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",7806.964,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",1153.36,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",54.909,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2023",5041.888,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2023",442.472,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2023",3889.719,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2023",660.09,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2023",49.608,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2023",4714.401,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2023",298.585,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2023",3917.245,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2023",493.27,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2023",5.302,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",9756.289,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",139.509,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",337.664,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",263.884,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",250.798,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",2069.519,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",2812.907,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2255.138,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",418.602,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",1153.36,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",54.909,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2023",5041.888,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2023",102.641,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2023",164.963,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2023",174.867,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2023",132.819,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2023",739.066,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2023",1331.906,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2023",1326.55,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2023",359.379,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2023",660.09,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2023",49.608,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2023",4714.401,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2023",36.868,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2023",172.701,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2023",89.016,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2023",117.98,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2023",1330.453,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2023",1481.001,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2023",928.588,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2023",59.223,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2023",493.27,,,,"R1:3513"
"KHM","BB:3064","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2023",5.302,,,,"R1:3513"
