"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",3509.261,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",314.22,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",2847.77,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",282.093,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",65.178,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2022",1831.183,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2022",172.072,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2022",1383.665,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2022",223.141,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2022",52.305,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2022",1678.078,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2022",142.148,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2022",1464.105,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2022",58.952,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2022",12.873,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",3509.261,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",27.433,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",61.952,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",224.835,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",6.32,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",410.121,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",2260.487,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",107.863,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",62.979,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",282.093,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2022",65.016,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2022",,"U",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2022",1831.183,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2022",20.388,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2022",26.964,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2022",124.72,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2022",1.365,"U",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2022",131.606,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2022",1155.717,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2022",45.341,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2022",49.636,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2022",223.141,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2022",52.143,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2022",,"U",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2022",1678.078,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2022",7.045,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2022",34.988,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2022",100.115,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2022",4.955,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2022",278.515,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2022",1104.77,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2022",62.522,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2022",13.343,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2022",58.952,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2022",12.873,"B",,"I11:264","R1:3513"
"LAO","BA:6651","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2022",,"U",,"I11:264","R1:3513"
