"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",46938.519,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",6551.61,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",27114.431,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",13180.138,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",92.34,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2023",27643.775,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2023",2965.242,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2023",16177.673,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2023",8414.721,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2023",86.138,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2023",19294.744,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2023",3586.368,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2023",10936.758,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2023",4765.417,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2023",6.201,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",46938.519,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",1880.988,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",2682.224,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",1988.398,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",3523.646,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",11039.906,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",5234.78,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",3354.193,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",3961.905,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",13180.138,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",92.34,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2023",27643.775,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2023",1021.461,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2023",969.434,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2023",974.347,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2023",1450.194,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2023",4113.92,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2023",4238.518,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2023",2735.007,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2023",3640.035,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2023",8414.721,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2023",86.138,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2023",19294.744,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2023",859.527,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2023",1712.79,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2023",1014.051,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2023",2073.452,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2023",6925.987,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2023",996.262,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2023",619.187,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2023",321.87,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2023",4765.417,,,,"R1:3513"
"PHL","BA:629","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2023",6.201,,,,"R1:3513"
