"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",39806.358,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",5378.868,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",29455.395,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",4843.489,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",128.606,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2024",21419.24,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2024",2446.239,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2024",16346.894,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2024",2534.466,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2024",91.641,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2024",18387.118,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2024",2932.629,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2024",13108.501,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2024",2309.023,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2024",36.965,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",39806.358,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",1306.047,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",2198.877,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",1873.944,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",1814.452,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",8650.616,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",10432.819,,,,"R1:3513"
"THA","BA:741","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",4311.149,,,,"R1:3513"
