"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",55280.158,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",5910.826,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",34616.017,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",12909.261,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",1844.053,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2024",28757.126,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2024",2678.897,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2024",18667.064,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2024",6615.682,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2024",795.482,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2024",26523.031,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2024",3231.929,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2024",15948.954,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2024",6293.579,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2024",1048.57,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",55280.158,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",470.211,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",3859.843,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",1580.772,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",1293.009,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",10332.873,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",8165.687,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",7188.578,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",7635.87,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",12909.261,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",308.608,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",1535.444,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2024",28757.126,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2024",335.594,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2024",1645.133,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2024",698.171,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2024",602.12,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2024",4026.606,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2024",4560.204,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2024",5293.089,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2024",4185.044,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2024",6615.682,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2024",258.834,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2024",536.649,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2024",26523.031,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2024",134.618,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2024",2214.711,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2024",882.601,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2024",690.889,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2024",6306.267,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2024",3605.483,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2024",1895.489,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2024",3450.826,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2024",6293.579,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2024",49.775,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2024",998.796,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",54956.134,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",5824.846,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",34477.761,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",13095.997,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",1557.53,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2023",28585.109,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2023",2712.384,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2023",18497.881,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2023",6679.602,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2023",695.241,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2023",26371.025,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2023",3112.462,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2023",15979.879,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2023",6416.395,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2023",862.289,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",54956.134,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",477.021,,,,"R1:3513"
"VNM","BA:1788","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",3618.994,,,,"R1:3513"
